fact_id,LLaMA3-8B,LLaMA3-3B-Instruct,LLaMA3-1B-Instruct,LLaMA3-1B,LLaMA3-3B,LLaMA3-8B-Instruct
15 Minutes -> John Herzfeld,80.0,100.0,90.0,70.0,40.0,90.0
1895 Home Nations Championship -> rugby union,100.0,100.0,100.0,33.33333333333333,33.33333333333333,50.0
1909–10 Netherlands Football League Championship -> association football,50.0,50.0,100.0,0.0,0.0,50.0
1920–21 Northern Football League -> association football,50.0,100.0,100.0,50.0,0.0,100.0
1924–25 Arsenal F.C. season -> association football,75.0,100.0,100.0,50.0,50.0,75.0
1938 Wimbledon Championships – Women's Singles -> tennis,75.0,75.0,100.0,75.0,100.0,75.0
1949 France rugby union tour of Argentina -> rugby union,100.0,50.0,100.0,50.0,,50.0
1973 Virginia Slims of Fort Lauderdale -> tennis,80.0,30.0,100.0,0.0,0.0,80.0
1983... (A Merman I Should Turn to Be) -> Jimi Hendrix,100.0,100.0,87.5,100.0,62.5,100.0
1989–90 1. Slovenská národná hokejová liga season -> ice hockey,100.0,100.0,100.0,0.0,0.0,75.0
1990–91 British Basketball League season -> basketball,100.0,100.0,100.0,0.0,50.0,100.0
1991 CONCACAF Gold Cup -> association football,100.0,100.0,100.0,20.0,0.0,83.33333333333334
1991–92 Southend United F.C. season -> association football,100.0,100.0,100.0,11.11111111111111,0.0,70.0
1994–95 Belgian First Division -> association football,50.0,100.0,50.0,100.0,0.0,100.0
1994–95 Fußball-Bundesliga -> association football,50.0,100.0,100.0,50.0,0.0,50.0
1995–96 Norwich City F.C. season -> association football,83.33333333333334,83.33333333333334,100.0,16.666666666666664,16.666666666666664,66.66666666666666
2 Days in New York -> Julie Delpy,83.33333333333334,100.0,83.33333333333334,50.0,16.666666666666664,66.66666666666666
2 Days in Paris -> Julie Delpy,75.0,100.0,100.0,75.0,75.0,50.0
2000 UEFA European Under-16 Football Championship -> association football,100.0,100.0,100.0,50.0,100.0,100.0
2001–02 Division 1 season -> ice hockey,50.0,100.0,100.0,50.0,0.0,75.0
2002 Euro Beach Soccer Cup -> association football,100.0,100.0,100.0,83.33333333333334,66.66666666666666,83.33333333333334
2004 Legg Mason Tennis Classic -> tennis,83.33333333333334,66.66666666666666,100.0,0.0,0.0,66.66666666666666
2004–05 Segunda División B -> association football,100.0,91.66666666666666,100.0,66.66666666666666,36.36363636363637,83.33333333333334
2006 Korea Open Badminton Championships -> badminton,100.0,62.5,100.0,28.57142857142857,25.0,62.5
2008–09 FA Cup -> association football,50.0,100.0,100.0,50.0,0.0,50.0
2008–09 Maltese Premier League -> association football,100.0,100.0,100.0,100.0,100.0,100.0
2010 Hong Kong Super Series -> badminton,100.0,75.0,100.0,0.0,50.0,50.0
2010: The Year We Make Contact -> Peter Hyams,87.5,100.0,87.5,0.0,25.0,62.5
2010–11 South West Peninsula League -> association football,100.0,100.0,100.0,100.0,50.0,100.0
2011–12 Athletic Bilbao season -> association football,100.0,75.0,100.0,25.0,50.0,75.0
2012 Georgetown Hoyas men's soccer team -> association football,100.0,100.0,100.0,,50.0,100.0
2013 Torneo di Viareggio -> association football,83.33333333333334,100.0,100.0,40.0,50.0,66.66666666666666
